Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?(Y or N)
5600,Swiggy - Software Development,Bangalore,IT,Any,0,0,N
2666,Happiest Minds Technologies,Bangalore,IT,Any,0,0,N
5631,Homi Bhabha Centre For Science Education - IoT - Web Development,Mumbai,IT,A7,0,0,N
6005,National Stock Exchange,Mumbai,Computer Science,Any,0,0,N
5597,UST Global - Research/Blockchain,Trivandrum,IT,Any,0,0,N
5989,Indira Gandhi Centre for Atomic Research (IGCAR),Kalpakkam,Govt Research Lab,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB , B2 , B5",0,0,N
5611,North Eastern Space - Deep Learning/Machine Learning,Umiam ,IT,"A3 , A7 , A8 , AA",0,0,N
5955,CEERI Pilani - App/AR/VR,Pilani,Electronics  ,"A3 , A7",0,0,N
5928,CEERI Pilani - Machine Learning/DSP/AI,Pilani,Electronics  ,"A3 , A7 , AA",0,0,N
5944,Indian Institute Of Remote Sensing - Machine Learning/DSP/AI,Dehradun,Computer Science,"A3 , A8 , AA",0,0,N
3589,CSIR-Institute of Genomics & Integrative Biology,New delhi,Health Care,"A7 , Any , B1",0,0,N
5514,CDAC- Web Deveopment,Pune,IT,Any,0,0,N
5512,BISAG-Software Development,Gandhinagar ,Electronics  ,"A3 , A7 , C6",0,0,N
5570,"National Centre For Polar And Ocean Research- Data Analytics, Machine Learning",Goa,IT,"B4 , AnyB5",0,0,N
3653,Centre for Railway Information Systems,New delhi,Computer Science,Any,0,0,N
5621,L & T Infotech - Machine Learning,Mumbai,IT,"C6 , AnyA7",0,0,N
5599,UST Global - Machine Learning,Trivandrum,IT,Any,0,0,N
5935,CSIR-National Aerospace Laboratories - Machine Learning/DSP/AI,Bangalore,Electronics  ,"A3 , A7",0,0,N
5618,L & T Infotech - Web Development,Mumbai,IT,"A7 , AnyA7 , AnyC6",0,0,N
5545,Hexagon Capability Center India Pvt. Ltd - Machine Learning,Hyderabad ,IT,Any,0,0,N
5614,NIC-Web development,Hyderabad ,IT,Any,0,0,N
5920,National Institute of Oceanography -Machine Learning/DSP/AI,Goa,Computer Science,"A3 , A8 , AA",0,0,N
